Designator,Mid X,Mid Y,Rotation,Layer
C1,152.273,-99.187,180.0,bottom
C2,125.73,-112.649,90.0,bottom
J1,127.0,-86.36,0.0,top
J2,142.24,-86.36,0.0,top
J3,157.48,-86.36,0.0,top
J4,134.62,-123.19,180.0,bottom
J5,132.34,-102.85,270.0,bottom
J6,133.35,-96.52,180.0,top
J7,124.46,-123.19,180.0,top
R1,153.67,-96.52,180.0,bottom
R2,153.67,-93.98,180.0,bottom
R3,133.35,-92.71,180.0,bottom
U2,146.05,-95.25,90.0,bottom
